date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:24	40365/40365	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/calendar.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/calendar.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:24	81299/81299	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/inbox.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/inbox.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:25	65369/65369	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-typography.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-typography.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:25	64902/64902	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-buttons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-buttons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:25	70027/70027	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-cards.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-cards.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:25	38592/38592	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-draggable-cards.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-draggable-cards.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:26	63372/63372	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-checkbox-radio.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-checkbox-radio.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:26	37886/37886	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-material-icons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-material-icons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:26	34082/34082	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-font-awesome-icons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-font-awesome-icons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:26	80441/80441	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-dripicons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-dripicons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:27	90349/90349	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-feather-icons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-feather-icons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:27	114158/114158	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-themify-icons.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-themify-icons.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:27	69264/69264	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-modals.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-modals.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:27	47679/47679	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-notification.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-notification.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:28	37639/37639	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-range-slider.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-range-slider.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:28	121192/121192	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-components.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-components.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:29	40314/40314	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-sweetalert.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-sweetalert.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:29	47068/47068	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-treeview.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-treeview.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:29	78912/78912	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/ui-widgets.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/ui-widgets.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:29	72752/72752	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-elements.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-elements.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
